country,year
Afghanistan,2004
Albania,1998
Algeria,1996
Andorra,1993
Angola,2010
Antigua and Barbuda,1981
Argentina,1983
Armenia,1995
Australia,1901
Austria,1945
Azerbaijan,1995
Bahamas,1973
Bahrain,2002
Bangladesh,1986
Barbados,1966
Belarus,1994
Belgium,1831
Belize,1981
Benin,1990
Bhutan,2008
Bolivia (Plurinational State of),2009
Bosnia and Herzegovina,1995
Botswana,1966
Brazil,1988
Brunei,1959
Bulgaria,1991
Burkina Faso,1991
Burundi,2005
Cambodia,1993
Cameroon,1972
Canada,1867
Cabo Verde,1980
Central African Republic,2013
Chad,1996
Chile,1980
China,1982
Colombia,1991
Comoros,2001
Congo,2001
Dem. Rep. Congo,2005
Costa Rica,1949
C̫te d'Ivoire,2000
Croatia,1991
Cuba,1976
Cyprus,1960
Czechia,1993
Denmark,1953
Djibouti,1992
Dominica,1978
Dominican Republic,2010
Ecuador,2008
Egypt,2014
El Salvador,1983
Equatorial Guinea,1991
Eritrea,1997
Estonia,1992
Ethiopia,1994
Fiji,2013
Finland,1999
France,1958
Gabon,1991
Gambia,1996
Georgia,1995
Germany,1949
Ghana,1992
Greece,1975
Grenada,1991
Guatemala,1985
Guinea,2010
Guinea-Bissau,1984
Guyana,1980
Haiti,1987
Honduras,1982
Hungary,2011
Iceland,1944
India,1949
Indonesia,1959
Iran,1979
Iraq,2005
Ireland,1937
Israel,1958
Italy,1947
Jamaica,1962
Japan,1946
Jordan,1952
Kazakhstan,1995
Kenya,2010
Kiribati,1979
North Korea,1972
South Korea,1948
Kosovo,2008
Kuwait,1992
Kyrgyzstan,2010
Laos,1991
Latvia,1991
Lebanon,1926
Lesotho,1993
Liberia,1986
Libya,2011
Liechtenstein,1921
Lithuania,1992
Luxembourg,1868
Macedonia,1991
Madagascar,2010
Malawi,1994
Malaysia,1957
Maldives,2008
Mali,1992
Malta,1964
Marshall Islands,1979
Mauritania,1991
Mauritius,1968
Mexico,1917
Micronesia,1981
Moldova (Republic of),1994
Monaco,1962
Mongolia,1992
Montenegro,2007
Morocco,2011
Mozambique,2004
Myanmar,2008
Namibia,1990
Nauru,1968
Nepal,2006
Netherlands,1815
New Zealand,1852
Nicaragua,1987
Niger,2010
Nigeria,1999
Norway,1814
Oman,1996
Pakistan,2002
Palau,1981
Panama,1972
Papua New Guinea,1975
Paraguay,1992
Peru,1993
Philippines,1987
Poland,1997
Portugal,1976
Qatar,2003
Romania,1991
Russia,1993
Rwanda,2003
Samoa,1962
Sao Tome and Principe,1975
Saudi Arabia,1992
Senegal,2001
Seychelles,1993
Sierra Leone,1996
Singapore,1963
Slovak Republic,1992
Slovenia,1991
Solomon Islands,1978
Somalia,2012
South Africa,1996
South Sudan,2011
Spain,1978
Sri Lanka,1978
St. Kitts and Nevis,1983
St. Lucia,1978
St. Vincent And The Grenadines,1979
Sudan,2005
Suriname,1987
Eswatini,2005
Sweden,1974
Switzerland,1999
Syria,2012
Taiwan,1947
Tajikistan,1994
Tanzania,1977
Thailand,2007
Togo,1992
Tonga,1875
Trinidad and Tobago,1976
Tunisia,2014
Turkey,1982
Turkmenistan,2008
Tuvalu,1986
Uganda,1995
Ukraine,1996
United Arab Emirates,1971
United Kingdom of Great Britain and Northern Ireland,1215
United States of America,1789
Uruguay,1985
Uzbekistan,1992
Vanuatu,1980
Venezuela,1999
Viet Nam,1992
Yemen,1991
Serbia,2006
Zambia,1991
Zimbabwe,2013